workload_type,engine,ad_mode,M,instance_type,machine_family,vcpu_count,mean_runtime_ms,throughput_paths_per_sec,cost_per_run,paths_per_dollar,region,zone
european_local_vol,jax,forward,100000,c2d-standard-4,c2d,4,2657.318604200003,37631.91957559994,0.2657318604200003,,europe-west1,europe-west1-b
european_local_vol,jax,reverse,10000,c2d-standard-4,c2d,4,158.77302540000073,62982.990812241296,0.0015877302540000073,,europe-west1,europe-west1-b
european_local_vol,jax,reverse,50000,c2d-standard-4,c2d,4,629.2654260000006,79457.72631722492,0.03146327130000003,,europe-west1,europe-west1-b
european_local_vol,jax,reverse,100000,c2d-standard-4,c2d,4,1120.6683401999953,89232.46638889961,0.11206683401999953,,europe-west1,europe-west1-b
asian,cpu,none,10000,c2d-standard-4,c2d,4,55.01847279999765,181757.13521441887,0.0005501847279999765,,europe-west1,europe-west1-b
asian,cpu,none,50000,c2d-standard-4,c2d,4,287.2865047999994,174042.28588742294,0.01436432523999997,,europe-west1,europe-west1-b
asian,cpu,none,100000,c2d-standard-4,c2d,4,576.4887765999902,173463.91475264967,0.057648877659999015,,europe-west1,europe-west1-b
asian,jax,none,10000,c2d-standard-4,c2d,4,73.73663620000457,135617.7948350644,0.0007373663620000458,,europe-west1,europe-west1-b
asian,jax,none,50000,c2d-standard-4,c2d,4,198.60646920000136,251754.13571069948,0.009930323460000067,,europe-west1,europe-west1-b
asian,jax,none,100000,c2d-standard-4,c2d,4,348.33530160000237,287079.7175614179,0.03483353016000024,,europe-west1,europe-west1-b
asian,jax,forward,10000,c2d-standard-4,c2d,4,344.1242156000044,29059.27437441247,0.003441242156000044,,europe-west1,europe-west1-b
asian,jax,forward,50000,c2d-standard-4,c2d,4,542.2979291999866,92200.24143142393,0.02711489645999933,,europe-west1,europe-west1-b
asian,jax,forward,100000,c2d-standard-4,c2d,4,802.8012808000028,124563.8271781886,0.08028012808000028,,europe-west1,europe-west1-b
asian,jax,reverse,10000,c2d-standard-4,c2d,4,237.0288885999969,42188.950296584786,0.0023702888859999686,,europe-west1,europe-west1-b
asian,jax,reverse,50000,c2d-standard-4,c2d,4,397.09123600000567,125915.64725442413,0.019854561800000285,,europe-west1,europe-west1-b
asian,jax,reverse,100000,c2d-standard-4,c2d,4,619.6702393999999,161376.15402802904,0.06196702393999999,,europe-west1,europe-west1-b
european,cpu,none,1000,c2d-standard-4,c2d,4,0.06661899999945338,15010732.673984976,6.661899999945338e-08,,europe-west1,europe-west1-b
european,jax,none,1000,c2d-standard-4,c2d,4,0.2946190000017168,3394214.222416656,2.9461900000171683e-07,,europe-west1,europe-west1-b
european,jax,forward,1000,c2d-standard-4,c2d,4,1.3186846666618142,758331.4080169379,1.3186846666618142e-06,,europe-west1,europe-west1-b
european,jax,reverse,1000,c2d-standard-4,c2d,4,1.7026176666661286,587330.9196644751,1.7026176666661287e-06,,europe-west1,europe-west1-b
european,cpp,none,1000,c2d-standard-4,c2d,4,0.015447999994459376,64733298.83212473,1.5447999994459376e-08,,europe-west1,europe-west1-b
