workload_type,engine,ad_mode,M,instance_type,mean_runtime_ms,std_runtime_ms,sha_round,sha_eliminated,scaling_law_alpha,scaling_law_beta,extrapolated_runtime_ms,extrapolation_error_pct,ad_overhead_ratio,profiler_phase,profiler_decision
european,cpp,none,1000,e2-standard-4,0.03315999998676489,0.008905976576910252,0,0,,,,,1.0,sha_round_0,
european,cpu,none,1000,e2-standard-4,0.11836599999052548,0.03482500664955389,0,0,,,,,1.0,sha_round_0,
european,cpu,none,1000,e2-standard-4,0.11243300000292795,0.026464225530126752,0,0,,,,,1.0,sha_round_0,
european,cpu,none,1000,e2-standard-4,0.12755766667282842,0.031504350565039446,0,0,,,,,1.0,sha_round_0,
european,cpu,none,1000,e2-standard-4,0.12755766667282842,0.031504350565039446,0,1,,,,,1.0,sha_round_0,
european,cpu,none,1000,e2-standard-4,0.1168986666660506,0.023625493782467775,0,0,,,,,1.0,sha_round_0,
european,cpu,none,1000,e2-standard-4,0.1168986666660506,0.023625493782467775,0,1,,,,,1.0,sha_round_0,
european,jax,forward,1000,e2-standard-4,2.639795666662318,0.26439774439000613,0,0,,,,,3.9604638102001397,sha_round_0,
european,jax,forward,1000,e2-standard-4,2.639795666662318,0.26439774439000613,0,1,,,,,3.9604638102001397,sha_round_0,
european,jax,forward,1000,e2-standard-4,2.7810676666651566,0.3118581255457626,0,0,,,,,4.730532882125218,sha_round_0,
european,jax,forward,1000,e2-standard-4,2.7810676666651566,0.3118581255457626,0,1,,,,,4.730532882125218,sha_round_0,
european,jax,forward,1000,e2-standard-4,2.367483333330256,0.21270768297043713,0,0,,,,,4.380758942163612,sha_round_0,
european,jax,forward,1000,e2-standard-4,2.367483333330256,0.21270768297043713,0,1,,,,,4.380758942163612,sha_round_0,
european,jax,forward,1000,e2-standard-4,2.7722486666637756,0.17351019021835648,0,0,,,,,4.846111309571042,sha_round_0,
european,jax,forward,1000,e2-standard-4,2.7722486666637756,0.17351019021835648,0,1,,,,,4.846111309571042,sha_round_0,
european,jax,none,1000,e2-standard-4,0.959232000004325,0.2129941702321631,0,0,,,,,1.0,sha_round_0,
european,jax,none,1000,e2-standard-4,0.959232000004325,0.2129941702321631,0,1,,,,,1.0,sha_round_0,
european,jax,none,1000,e2-standard-4,0.7660559999986086,0.05038014128804933,0,0,,,,,1.0,sha_round_0,
european,jax,none,1000,e2-standard-4,0.6549333333225604,0.08931498475332071,0,0,,,,,1.0,sha_round_0,
european,jax,none,1000,e2-standard-4,0.7599806666670853,0.0387526568141846,0,0,,,,,1.0,sha_round_0,
european,jax,reverse,1000,e2-standard-4,3.7285613333324363,0.39975585576706707,0,0,,,,,4.746073643908173,sha_round_0,
european,jax,reverse,1000,e2-standard-4,3.7285613333324363,0.39975585576706707,0,1,,,,,4.746073643908173,sha_round_0,
european,jax,reverse,1000,e2-standard-4,3.8476433333300974,0.24627486601698403,0,0,,,,,6.093760970816041,sha_round_0,
european,jax,reverse,1000,e2-standard-4,3.8476433333300974,0.24627486601698403,0,1,,,,,6.093760970816041,sha_round_0,
european,jax,reverse,1000,e2-standard-4,3.1195786666652716,0.32712926976907386,0,0,,,,,5.953367892151795,sha_round_0,
european,jax,reverse,1000,e2-standard-4,3.1195786666652716,0.32712926976907386,0,1,,,,,5.953367892151795,sha_round_0,
