method,objective,task,round_index,budget_M,candidate_id,rank,score,promoted,reason
guarded_sha,union,ad_required,1,5000,ad_required|european_local_vol|jax|reverse|t2d-standard-4,1,1.0168403808150797,True,base_cutoff;engine_diversity;instance_diversity;near_tie_within_15%;scaling_improved
guarded_sha,union,price_only,2,25000,price_only|european_local_vol|cpu|none|c2d-standard-4,13,2.5706589384933007,True,scaling_improved
guarded_sha,union,price_only,2,25000,price_only|european_local_vol|cpu|none|t2d-standard-4,12,2.248075479366155,True,scaling_improved
guarded_sha,union,price_only,2,25000,price_only|european_local_vol|jax|none|c2d-standard-4,11,1.534779929835313,True,near_tie_within_15%;scaling_improved
guarded_sha,union,price_only,2,25000,price_only|european_local_vol|jax|none|t2d-standard-4,6,1.2286764939059411,True,base_cutoff;near_tie_within_15%;scaling_improved
guarded_sha,union,price_only,2,25000,price_only|european_local_vol|cpp|none|n2-standard-4,10,1.5267896158393786,True,near_tie_within_15%
guarded_sha,union,price_only,2,25000,price_only|european_local_vol|cpp|none|n2d-standard-4,8,1.3183540617235119,True,near_tie_within_15%
guarded_sha,union,price_only,2,25000,price_only|european_local_vol|cpp|none|c2d-standard-4,9,1.49968315949384,True,base_cutoff;near_tie_within_15%
guarded_sha,union,price_only,2,25000,price_only|european_local_vol|cpp|none|t2d-standard-4,3,1.0824131884728185,True,base_cutoff;near_tie_within_15%
guarded_sha,union,price_only,2,25000,price_only|european_local_vol|rust|none|e2-standard-4,4,1.1670876554762668,True,base_cutoff;near_tie_within_15%;scaling_improved
guarded_sha,union,price_only,2,25000,price_only|european_local_vol|rust|none|n2-standard-4,7,1.241075252137481,True,base_cutoff;near_tie_within_15%
guarded_sha,union,price_only,2,25000,price_only|european_local_vol|rust|none|n2d-standard-4,2,1.0558607331405094,True,base_cutoff;near_tie_within_15%
guarded_sha,union,price_only,2,25000,price_only|european_local_vol|rust|none|c2d-standard-4,5,1.201629886295007,True,base_cutoff;near_tie_within_15%
guarded_sha,union,price_only,2,25000,price_only|european_local_vol|rust|none|t2d-standard-4,1,1.0103814671346973,True,base_cutoff;near_tie_within_15%;scaling_improved
guarded_sha,union,ad_required,2,25000,ad_required|european_local_vol|jax|forward|n2d-standard-4,6,2.874684558484924,True,scaling_improved
guarded_sha,union,ad_required,2,25000,ad_required|european_local_vol|jax|reverse|e2-standard-4,4,1.5803559091139605,False,eliminated_by_rank
guarded_sha,union,ad_required,2,25000,ad_required|european_local_vol|jax|reverse|n2-standard-4,5,1.9171404057896493,False,eliminated_by_rank
guarded_sha,union,ad_required,2,25000,ad_required|european_local_vol|jax|reverse|n2d-standard-4,2,1.1128037270830289,True,base_cutoff;near_tie_within_15%
guarded_sha,union,ad_required,2,25000,ad_required|european_local_vol|jax|reverse|c2d-standard-4,3,1.1845071064864274,True,base_cutoff;near_tie_within_15%
guarded_sha,union,ad_required,2,25000,ad_required|european_local_vol|jax|reverse|t2d-standard-4,1,1.0140404712331132,True,base_cutoff;near_tie_within_15%
